National Dex,Name,Sprite,Caught,"0,00%",,Boxable Forms,Name,Sprite,Caught,"0,00%",,Alolan,Name,Sprite,Caught,"0,00%",,Galarian,Name,Sprite,Caught,"0,00%",,Hisuian,Name,Sprite,Caught,"0,00%",,Paldean,Name,Sprite,Caught,"0,00%",,Gender Variation,Name,Sprite,Caught,"0,00%",,Mega,Name,Sprite,Caught,"0,00%",,Gmax,Name,Sprite,Caught,"0,00%",,Gmax Forms,Name,Sprite,Caught,"0,00%"
119,Seaking,,FALSE,,,119,Furfrou Diamond Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,119,Numel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
120,Staryu,,FALSE,,,120,Furfrou La Reine Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,120,Numel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
121,Starmie,,FALSE,,,121,Furfrou Kabuki Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,121,Camerupt ♂,,FALSE,,,,,,,,,,,,,,,,,,,
122,Mr. Mime,,FALSE,,,122,Furfrou Pharaoh Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,122,Camerupt ♀,,FALSE,,,,,,,,,,,,,,,,,,,
123,Scyther,,FALSE,,,123,Furfrou Debutante Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Cacturne ♂,,FALSE,,,,,,,,,,,,,,,,,,,
124,Jinx,,FALSE,,,124,Furfrou Matron Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,124,Cacturne ♀,,FALSE,,,,,,,,,,,,,,,,,,,
125,Electabuzz,,FALSE,,,125,Furfrou Dandy Trim,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,125,Milotic ♂,,FALSE,,,,,,,,,,,,,,,,,,,
126,Magmar,,FALSE,,,126,Pumpkaboo Small,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,126,Milotic ♀,,FALSE,,,,,,,,,,,,,,,,,,,
127,Pinsir,,FALSE,,,127,Pumpkaboo Average,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,127,Relicanth ♂,,FALSE,,,,,,,,,,,,,,,,,,,
128,Tauros,,FALSE,,,128,Pumpkaboo Large,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,128,Relicanth ♀,,FALSE,,,,,,,,,,,,,,,,,,,
129,Magikarp,,FALSE,,,129,Pumpkaboo Super,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Starly ♂,,FALSE,,,,,,,,,,,,,,,,,,,
130,Gyarados,,FALSE,,,130,Gourgeist Small,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,130,Starly ♀,,FALSE,,,,,,,,,,,,,,,,,,,
131,Lapras,,FALSE,,,131,Gourgeist Average,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,131,Staravia ♂,,FALSE,,,,,,,,,,,,,,,,,,,
132,Ditto,,FALSE,,,132,Gourgeist Large,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,132,Staravia ♀,,FALSE,,,,,,,,,,,,,,,,,,,
133,Eevee,,FALSE,,,133,Gourgeist Super,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,133,Staraptor ♂,,FALSE,,,,,,,,,,,,,,,,,,,
134,Vaporeon,,FALSE,,,134,Zygarde 10%,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,134,Staraptor ♀,,FALSE,,,,,,,,,,,,,,,,,,,
135,Jolteon,,FALSE,,,135,Zygarde 50%,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,135,Bidoof ♂,,FALSE,,,,,,,,,,,,,,,,,,,
136,Flareon,,FALSE,,,136,Hoopa Confined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,Bidoof ♀,,FALSE,,,,,,,,,,,,,,,,,,,
137,Porygon,,FALSE,,,137,Hoopa Unbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,Bibarel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
138,Omanyte,,FALSE,,,138,Oricorio Baile Style,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,138,Bibarel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
139,Omastar,,FALSE,,,139,Oricorio Pom-Pom Style,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,139,Kricketot ♂,,FALSE,,,,,,,,,,,,,,,,,,,
140,Kabuto,,FALSE,,,140,Oricorio Pa'u Style,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,140,Kricketot ♀,,FALSE,,,,,,,,,,,,,,,,,,,
141,Kabutops,,FALSE,,,141,Oricorio Sensu Style,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,141,Kricketune ♂,,FALSE,,,,,,,,,,,,,,,,,,,
142,Aerodactyl,,FALSE,,,142,Lycanroc Midday,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Kricketune ♀,,FALSE,,,,,,,,,,,,,,,,,,,
143,Snorlax,,FALSE,,,143,Lycanroc Midnight,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,143,Shinx ♂,,FALSE,,,,,,,,,,,,,,,,,,,
144,Articuno,,FALSE,,,144,Lycanroc Dusk,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,144,Shinx ♀,,FALSE,,,,,,,,,,,,,,,,,,,
145,Zapdos,,FALSE,,,145,Silvally Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,145,Luxio ♂,,FALSE,,,,,,,,,,,,,,,,,,,
146,Moltres,,FALSE,,,146,Necrozma Normal,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,146,Luxio ♀,,FALSE,,,,,,,,,,,,,,,,,,,
147,Dratini,,FALSE,,,147,Magearna Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,Luxray ♂,,FALSE,,,,,,,,,,,,,,,,,,,
148,Dragonair,,FALSE,,,148,Magearna Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,Luxray ♀,,FALSE,,,,,,,,,,,,,,,,,,,
149,Dragonite,,FALSE,,,149,Toxtricity Amped,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,149,Roserade ♂,,FALSE,,,,,,,,,,,,,,,,,,,
150,Mewtwo,,FALSE,,,150,Toxtricity Low Key,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,150,Roserade ♀,,FALSE,,,,,,,,,,,,,,,,,,,
151,Mew,,FALSE,,,151,Sinistea Phony,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,151,Combee ♂,,FALSE,,,,,,,,,,,,,,,,,,,
152,Chikorita,,FALSE,,,152, Sinistea Antique,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,152,Combee ♀,,FALSE,,,,,,,,,,,,,,,,,,,
153,Bayleef,,FALSE,,,153,Polteageist Phony,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Pachirisu ♂,,FALSE,,,,,,,,,,,,,,,,,,,
154,Meganium,,FALSE,,,154,Polteageist Antique,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,154,Pachirisu ♀,,FALSE,,,,,,,,,,,,,,,,,,,
155,Cyndaquil,,FALSE,,,155,Alcremie Berry Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,155,Buizel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
156,Quilava,,FALSE,,,156,Alcremie Flower Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,156,Buizel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
157,Typhlosion,,FALSE,,,157,Alcremie Strawberry Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,157,Floatzel ♂,,FALSE,,,,,,,,,,,,,,,,,,,
158,Totodile,,FALSE,,,158,Alcremie Heart Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,158,Floatzel ♀,,FALSE,,,,,,,,,,,,,,,,,,,
159,Croconaw,,FALSE,,,159,Alcremie Clover Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,159,Ambipom ♂,,FALSE,,,,,,,,,,,,,,,,,,,
160,Feraligatr,,FALSE,,,160,Alcremie Ribbon Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,160,Ambipom ♀,,FALSE,,,,,,,,,,,,,,,,,,,
161,Sentret,,FALSE,,,161,Alcremie Star Vanilla Cream,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,161,Gible ♂,,FALSE,,,,,,,,,,,,,,,,,,,
162,Furret,,FALSE,,,162,Urshifu Single Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,Gible ♀,,FALSE,,,,,,,,,,,,,,,,,,,
163,Hoothoot,,FALSE,,,163,Urshifu Rapid Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,Gabite ♂,,FALSE,,,,,,,,,,,,,,,,,,,
164,Noctowl,,FALSE,,,164,Zarude Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,Gabite ♀,,FALSE,,,,,,,,,,,,,,,,,,,
165,Ledyba,,FALSE,,,165,Dada Zarude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,Garchomp ♂,,FALSE,,,,,,,,,,,,,,,,,,,
166,Ledian,,FALSE,,,166,Calyrex Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,Garchomp ♀,,FALSE,,,,,,,,,,,,,,,,,,,
167,Spinarak,,FALSE,,,167,Ursaluna Hisui,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,167,Hippopotas ♂,,FALSE,,,,,,,,,,,,,,,,,,,
168,Ariados,,FALSE,,,168,Ursaluna Bloodmoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,Hippopotas ♀,,FALSE,,,,,,,,,,,,,,,,,,,
169,Crobat,,FALSE,,,169,Enamorus Incarnate,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,169,Hippowdon ♂,,FALSE,,,,,,,,,,,,,,,,,,,
170,Chinchou,,FALSE,,,170,Enamorus Therian,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,170,Hippowdon ♀,,FALSE,,,,,,,,,,,,,,,,,,,
171,Lanturn,,FALSE,,,171,Maushold Family of Three,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,171,Croagunk ♂,,FALSE,,,,,,,,,,,,,,,,,,,
172,Pichu,,FALSE,,,172,Maushold Family of Four,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,172,Croagunk ♀,,FALSE,,,,,,,,,,,,,,,,,,,
173,Cleffa,,FALSE,,,173,Squawkabilly Green Plumage,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,173,Toxicroak ♂,,FALSE,,,,,,,,,,,,,,,,,,,
174,Igglybuff,,FALSE,,,174,Squawkabilly Blue Plumage,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,174,Toxicroak ♀,,FALSE,,,,,,,,,,,,,,,,,,,
175,Togepi,,FALSE,,,175,Squawkabilly Yellow Plumage,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,175,Fineon ♂,,FALSE,,,,,,,,,,,,,,,,,,,
176,Togetic,,FALSE,,,176,Squawkabilly White Plumage,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,176,Fineon ♀,,FALSE,,,,,,,,,,,,,,,,,,,
177,Natu,,FALSE,,,177,Tatsugiri Curly Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,177,Lumineon ♂,,FALSE,,,,,,,,,,,,,,,,,,,
178,Xatu,,FALSE,,,178,Tatsugiri Droopy Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,178,Lumineon ♀,,FALSE,,,,,,,,,,,,,,,,,,,
179,Mareep,,FALSE,,,179,Tatsugiri Stretch Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,179,Snover ♂,,FALSE,,,,,,,,,,,,,,,,,,,
180,Flaaffy,,FALSE,,,180,Dudunsparce Two-Segment Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,180,Snover ♀,,FALSE,,,,,,,,,,,,,,,,,,,
181,Ampharos,,FALSE,,,181,Dudunsparce Three-Segment Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,181,Abomasnow ♂,,FALSE,,,,,,,,,,,,,,,,,,,
182,Bellossom,,FALSE,,,182,Gimmighoul Roaming Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,Abomasnow ♀,,FALSE,,,,,,,,,,,,,,,,,,,
183,Marill,,FALSE,,,183,Gimmighoul Chest Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,183,Weavile ♂,,FALSE,,,,,,,,,,,,,,,,,,,
184,Azumarill,,FALSE,,,184,Poltchageist Counterfeit Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Weavile ♀,,FALSE,,,,,,,,,,,,,,,,,,,
185,Sudowoodo,,FALSE,,,185,Poltchageist Artisan Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,185,Rhyperior ♂,,FALSE,,,,,,,,,,,,,,,,,,,
186,Politoed,,FALSE,,,186,Sinistcha Unremarkable Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,186,Rhyperior ♀,,FALSE,,,,,,,,,,,,,,,,,,,
187,Hoppip,,FALSE,,,187,Sinistcha Masterpiece Form,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,187,Tangrowth ♂,,FALSE,,,,,,,,,,,,,,,,,,,
188,Skiploom,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,Tangrowth ♀,,FALSE,,,,,,,,,,,,,,,,,,,
189,Jumpluff,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Mamoswine ♂,,FALSE,,,,,,,,,,,,,,,,,,,
190,Aipom,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,Mamoswine ♀,,FALSE,,,,,,,,,,,,,,,,,,,
191,Sunkern,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,Unfezant ♂,,FALSE,,,,,,,,,,,,,,,,,,,
192,Sunflora,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,Unfezant ♀,,FALSE,,,,,,,,,,,,,,,,,,,
193,Yanma,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,Frillish ♂,,FALSE,,,,,,,,,,,,,,,,,,,
194,Wooper,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,Frillish ♀,,FALSE,,,,,,,,,,,,,,,,,,,
195,Quagsire,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,Jellicent ♂,,FALSE,,,,,,,,,,,,,,,,,,,
196,Espeon,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,Jellicent ♀,,FALSE,,,,,,,,,,,,,,,,,,,
197,Umbreon,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,Pyroar ♂,,FALSE,,,,,,,,,,,,,,,,,,,
198,Murkrow,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,Pyroar ♀,,FALSE,,,,,,,,,,,,,,,,,,,
199,Slowking,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,Meowstic ♂,,FALSE,,,,,,,,,,,,,,,,,,,
200,Misdreavus,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Meowstic ♀,,FALSE,,,,,,,,,,,,,,,,,,,
201,Unown,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Indeedee ♂,,FALSE,,,,,,,,,,,,,,,,,,,
202,Wobbuffet,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Indeedee ♀,,FALSE,,,,,,,,,,,,,,,,,,,
203,Girafarig,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Basculegion ♂,,FALSE,,,,,,,,,,,,,,,,,,,
204,Pineco,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Basculegion ♀,,FALSE,,,,,,,,,,,,,,,,,,,
205,Forretress,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Oinkologne ♂,,FALSE,,,,,,,,,,,,,,,,,,,
206,Dunsparce,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,Oinkologne ♀,,FALSE,,,,,,,,,,,,,,,,,,,
207,Gligar,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Steelix,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Snubbull,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Grandbull,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Qwilfish,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Scizor,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Shuckle,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Heracross,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Sneasel,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Teddiursa,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Ursaring,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Slugma,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Magcargo,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Swinub,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Piloswine,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Corsola,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Remoraid,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Octillery,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Delibird,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Mantine,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Skarmory,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Houndour,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Houndoom,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Kingdra,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Phanpy,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Donphan,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Porygon2,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Stantler,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Smeargle,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Tyrogue,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Hitmontop,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Smoochum,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Elekid,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Magby,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Miltank,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Blissey,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Raikou,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Entei,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Suicune,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Larvitar,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Pupitar,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Tyranitar,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Lugia,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Ho-Oh,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Celebi,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Treecko,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Grovyle,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Sceptile,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Torchic,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Combusken,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Blaziken,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Mudkip,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Marshtomp,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Swampert,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Poochyena,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Mightyena,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Zigzagoon,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Linoone,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Wurmple,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Silcoon,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Beautifly,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Cascoon,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Dustox,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lotad,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Lombre,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Ludicolo,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Seedot,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Nuzleaf,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Shiftry,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Taillow,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Swellow,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Wingull,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Pelipper,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Ralts,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Kirlia,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Gardevoir,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Surskit,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Masquerain,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Shroomish,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Breloom,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
